Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
16,"A Estalella","Prototyping Social Sciences: Emplacing Digital Methods",2015,"Digital Methods for Social Science: An Interdisciplinary …","Springer","https://link.springer.com/content/pdf/10.1057/9781137453662_8?pdf=chapter%20toc","https://scholar.google.com/scholar?cites=6038963667052006283&as_sdt=2005&sciodt=2007&hl=en",290,"2024-08-22 10:20:32","","10.1057/9781137453662_8","","",,,,,16,1.78,16,1,9,"… and other open source hardware technologies. In addition to hardware and software tools, … Existing social science methods shape our empirical practices by establishing the protocols …","https://www.researchgate.net/profile/Adolfo-Estalella/publication/284341133_Prototyping_Social_Sciences_Emplacing_Digital_Methods/links/5651b0f708aefe619b182768/Prototyping-Social-Sciences-Emplacing-Digital-Methods.pdf","https://scholar.google.com/scholar?q=related:iwsgmnW1zlMJ:scholar.google.com/&scioq=%22open+source+hardware%22%7C%22open+source+hardware%22%7C%22open+hardware%22+%22empirical%22&hl=en&as_sdt=2007"
8,"A Ezoji, JF Boujut, R Pinquié","Requirements for design reuse in open-source hardware: a state of the art",2021,"Procedia CIRP","Elsevier","https://www.sciencedirect.com/science/article/pii/S2212827121005047","https://scholar.google.com/scholar?cites=16077182746986550962&as_sdt=2005&sciodt=2007&hl=en",46,"2024-08-22 10:20:32","","","","",,,,,8,2.67,3,3,3,"… of the application of design reuse for open-source hardware products. We conclude that a goal-oriented approach based on the basic principles of open-source hardware (right to study, …","https://www.sciencedirect.com/science/article/pii/S2212827121005047/pdf?md5=7c7113e2d8319bd0b6cbfbdaff9ee548&pid=1-s2.0-S2212827121005047-main.pdf","https://scholar.google.com/scholar?q=related:shYsH4egHd8J:scholar.google.com/&scioq=%22open+source+hardware%22%7C%22open+source+hardware%22%7C%22open+hardware%22+%22empirical%22&hl=en&as_sdt=2007"
76,"A Fidai, MM Capraro, RM Capraro","“Scratch”-ing computational thinking with Arduino: A meta-analysis",2020,"Thinking Skills and Creativity","Elsevier","https://www.sciencedirect.com/science/article/pii/S1871187120302005","https://scholar.google.com/scholar?cites=11810477779951517935&as_sdt=2005&sciodt=2007&hl=en",262,"2024-08-22 10:20:32","","","","",,,,,76,19.00,25,3,4,"… Open source hardware has the same advantages as open … The small number of empirical studies selected for final analysis … We strongly believe that negative effects of empirical …","","https://scholar.google.com/scholar?q=related:74CnXfc-56MJ:scholar.google.com/&scioq=%22open+source+hardware%22%7C%22open+source+hardware%22%7C%22open+hardware%22+%22empirical%22&hl=en&as_sdt=2007"
18,"A Gambardella, E Von Hippel","Open sourcing as a profit-maximizing strategy for downstream firms",2019,"Strategy Science","pubsonline.informs.org","https://pubsonline.informs.org/doi/abs/10.1287/stsc.2018.0075","https://scholar.google.com/scholar?cites=396746728258540620&as_sdt=2005&sciodt=2007&hl=en",439,"2024-08-22 10:20:32","","10.1287/stsc.2018.0075","","",,,,,18,3.60,9,2,5,"… into our analysis in the case of open source hardware. To make this important distinction clear, we call the type of input we analyze “open source hardware” as opposed to the case of a …","https://pubsonline.informs.org/doi/pdf/10.1287/stsc.2018.0075","https://scholar.google.com/scholar?q=related:TBSmGwyHgQUJ:scholar.google.com/&scioq=%22open+source+hardware%22%7C%22open+source+hardware%22%7C%22open+hardware%22+%22empirical%22&hl=en&as_sdt=2007"
7,"A Gambardella, EA von Hippel","Open source hardware as a profit-maximizing strategy of downstream firms",2018,"","papers.ssrn.com","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3184206","https://scholar.google.com/scholar?cites=11275324113996752019&as_sdt=2005&sciodt=2007&hl=en",53,"2024-08-22 10:20:32","","","","",,,,,7,1.17,4,2,6,"… manufacturing into our analysis in the case of open source hardware. To make this important distinction clear, we call the type of input we analyze “open source hardware” as opposed …","","https://scholar.google.com/scholar?q=related:kyQs3or_eZwJ:scholar.google.com/&scioq=%22open+source+hardware%22%7C%22open+source+hardware%22%7C%22open+hardware%22+%22empirical%22&hl=en&as_sdt=2007"
3,"A Ghani, T Dowrick, LJ McDaid","OSPEN: an open source platform for emulating neuromorphic hardware",2023,"International Journal of …","discovery.ucl.ac.uk","https://discovery.ucl.ac.uk/id/eprint/10165162/","https://scholar.google.com/scholar?cites=11815323823975712387&as_sdt=2005&sciodt=2007&hl=en",79,"2024-08-22 10:20:32","","","","",,,,,3,3.00,1,3,1,"… from a fabricated device allowing empirical models to be developed. … It is shown through software simulations and empirical … to have an open-source hardware platform for modelling, …","https://discovery.ucl.ac.uk/id/eprint/10165162/1/20470-39420-1-PB.pdf","https://scholar.google.com/scholar?q=related:g0ZI6mp2-KMJ:scholar.google.com/&scioq=%22open+source+hardware%22%7C%22open+source+hardware%22%7C%22open+hardware%22+%22empirical%22&hl=en&as_sdt=2007"
1,"A Halabi","Using Comparison for Qualitative Data Analysis in ICT4D-A Case Study from Syria",2013,"IPID 8th International Annual Symposium 2013","researchgate.net","https://www.researchgate.net/profile/Ammar-Halabi/publication/257869856_Using_Comparison_for_Qualitative_Data_Analysis_in_ICT4D_-_A_Case_Study_from_Syria/links/00b4952610fb17d8e8000000/Using-Comparison-for-Qualitative-Data-Analysis-in-ICT4D-A-Case-Study-from-Syria.pdf","https://scholar.google.com/scholar?cites=14770871460035984749&as_sdt=2005&sciodt=2007&hl=en",370,"2024-08-22 10:20:32","PDF","","","",,,,,1,0.09,1,1,11,"… Open-Hardware in Damascus. After gathering a small group of interested students, they held a talk dedicated to open hardware … a new group called “Open-Hardware and Do it Yourself” …","https://www.researchgate.net/profile/Ammar-Halabi/publication/257869856_Using_Comparison_for_Qualitative_Data_Analysis_in_ICT4D_-_A_Case_Study_from_Syria/links/00b4952610fb17d8e8000000/Using-Comparison-for-Qualitative-Data-Analysis-in-ICT4D-A-Case-Study-from-Syria.pdf","https://scholar.google.com/scholar?q=related:bX1mXlWt_MwJ:scholar.google.com/&scioq=%22open+source+hardware%22%7C%22open+source+hardware%22%7C%22open+hardware%22+%22empirical%22&hl=en&as_sdt=2007"
10,"A Henao, P Apparicio, D Maignan","One metre plus (1M+): A multifunctional open-source sensor for bicycles based on Raspberry Pi",2021,"Sensors","mdpi.com","https://www.mdpi.com/1424-8220/21/17/5812","https://scholar.google.com/scholar?cites=1924628699315975367&as_sdt=2005&sciodt=2007&hl=en",268,"2024-08-22 10:20:32","HTML","","","",,,,,10,3.33,3,3,3,"… compact sensors, the development of open-source hardware and software (microcontroller board … It therefore becomes difficult to compare empirical results between the various studies. …","https://www.mdpi.com/1424-8220/21/17/5812","https://scholar.google.com/scholar?q=related:xzRA25qntRoJ:scholar.google.com/&scioq=%22open+source+hardware%22%7C%22open+source+hardware%22%7C%22open+hardware%22+%22empirical%22&hl=en&as_sdt=2007"
0,"A Herrera","Open Source Hardware for Human Development",2015,"","ruor.uottawa.ca","https://ruor.uottawa.ca/handle/10393/33399","",35,"2024-08-22 10:20:32","","","","",,,,,0,0.00,0,1,9,"… This thesis presents research on open source hardware and its knowledge-sharing … It presents a model that leverages the collaborative design methodology of open hardware for …","https://ruor.uottawa.ca/bitstream/10393/33399/1/Herrera_Alfredo_2015_thesis.pdf","https://scholar.google.com/scholar?q=related:gNxgM1EAUugJ:scholar.google.com/&scioq=%22open+source+hardware%22%7C%22open+source+hardware%22%7C%22open+hardware%22+%22empirical%22&hl=en&as_sdt=2007"
0,"A Huyghe","Academic Advisors",2017,"","core.ac.uk","https://core.ac.uk/download/pdf/82917585.pdf","",317,"2024-08-22 10:20:32","PDF","","","",,,,,0,0.00,0,1,7,"… the Open Source Hardware phenomenon: Empirical essays … This dissertation comprises three empirical studies that use … In the first empirical study, I argue that the relationships between …","https://core.ac.uk/download/pdf/82917585.pdf","https://scholar.google.com/scholar?q=related:_TuWddxg7-wJ:scholar.google.com/&scioq=%22open+source+hardware%22%7C%22open+source+hardware%22%7C%22open+hardware%22+%22empirical%22&hl=en&as_sdt=2007"
925,"A MacCormack, J Rusnak, ...","Exploring the structure of complex software designs: An empirical study of open source and proprietary code",2006,"Management …","pubsonline.informs.org","https://pubsonline.informs.org/doi/abs/10.1287/mnsc.1060.0552","https://scholar.google.com/scholar?cites=6699864656184326240&as_sdt=2005&sciodt=2007&hl=en",350,"2024-08-22 10:20:32","","10.1287/mnsc.1060.0552","","",,,,,925,51.39,308,3,18,"This paper reports data from a study that seeks to characterize the differences in design structure between complex software products. We use design structure matrices (DSMs) to map …","https://pubsonline.informs.org/doi/pdf/10.1287/mnsc.1060.0552","https://scholar.google.com/scholar?q=related:YLgPS2iz-lwJ:scholar.google.com/&scioq=%22open+source+hardware%22%7C%22open+source+hardware%22%7C%22open+hardware%22+%22empirical%22&hl=en&as_sdt=2007"
